-4.0,4.0
[-3.99899888],[4.]
[-3.99799776],[4.00000019]
[-3.99699663],[4.00000057]
[-3.99599551],[4.00000114]
[-3.99499439],[4.0000019]
[-3.99399327],[4.00000285]
[-3.99299215],[4.00000399]
[-3.99199102],[4.00000532]
[-3.9909899],[4.00000684]
[-3.98998878],[4.00000855]
[-3.98898766],[4.00001045]
[-3.98798654],[4.00001255]
[-3.98698542],[4.00001483]
[-3.9859843],[4.0000173]
[-3.98498319],[4.00001996]
[-3.98398207],[4.00002281]
[-3.98298095],[4.00002585]
[-3.98197983],[4.00002908]
[-3.98097872],[4.0000325]
[-3.9799776],[4.00003612]
[-3.97897649],[4.00003992]
[-3.97797537],[4.00004391]
[-3.97697426],[4.00004809]
[-3.97597315],[4.00005246]
[-3.97497203],[4.00005702]
[-3.97397092],[4.00006178]
[-3.97296981],[4.00006672]
[-3.9719687],[4.00007185]
[-3.9709676],[4.00007717]
[-3.96996649],[4.00008269]
[-3.96896538],[4.00008839]
[-3.96796428],[4.00009428]
[-3.96696317],[4.00010036]
[-3.96596207],[4.00010664]
[-3.96496097],[4.0001131]
[-3.96395987],[4.00011975]
[-3.96295877],[4.00012659]
[-3.96195767],[4.00013363]
[-3.96095658],[4.00014085]
[-3.95995548],[4.00014826]
[-3.95895439],[4.00015587]
[-3.9579533],[4.00016366]
[-3.95695221],[4.00017164]
[-3.95595112],[4.00017982]
[-3.95495003],[4.00018818]
[-3.95394895],[4.00019673]
[-3.95294786],[4.00020548]
[-3.95194678],[4.00021441]
[-3.9509457],[4.00022354]
[-3.94994462],[4.00023285]
[-3.94894354],[4.00024235]
[-3.94794247],[4.00025205]
[-3.9469414],[4.00026193]
[-3.94594032],[4.00027201]
[-3.94493925],[4.00028227]
[-3.94393819],[4.00029272]
[-3.94293712],[4.00030337]
[-3.94193606],[4.0003142]
[-3.940935],[4.00032523]
[-3.93993394],[4.00033644]
[-3.93893288],[4.00034785]
[-3.93793183],[4.00035944]
[-3.93693077],[4.00037123]
[-3.93592972],[4.0003832]
[-3.93492867],[4.00039537]
[-3.93392763],[4.00040772]
[-3.93292659],[4.00042027]
[-3.93192554],[4.000433]
[-3.93092451],[4.00044593]
[-3.92992347],[4.00045904]
[-3.92892244],[4.00047235]
[-3.9279214],[4.00048584]
[-3.92692038],[4.00049953]
[-3.92591935],[4.0005134]
[-3.92491833],[4.00052747]
[-3.92391731],[4.00054173]
[-3.92291629],[4.00055617]
[-3.92191527],[4.00057081]
[-3.92091426],[4.00058563]
[-3.91991325],[4.00060065]
[-3.91891225],[4.00061586]
[-3.91791124],[4.00063125]
[-3.91691024],[4.00064684]
[-3.91590924],[4.00066261]
[-3.91490825],[4.00067858]
[-3.91390726],[4.00069474]
[-3.91290627],[4.00071108]
[-3.91190528],[4.00072762]
[-3.9109043],[4.00074435]
[-3.90990332],[4.00076126]
[-3.90890235],[4.00077837]
[-3.90790137],[4.00079567]
[-3.90690041],[4.00081315]
[-3.90589944],[4.00083083]
[-3.90489848],[4.0008487]
[-3.90389752],[4.00086675]
[-3.90289656],[4.000885]
[-3.90189561],[4.00090344]
[-3.90089466],[4.00092206]
[-3.89989372],[4.00094088]
[-3.89889277],[4.00095989]
[-3.89789184],[4.00097909]
[-3.8968909],[4.00099847]
[-3.89588997],[4.00101805]
[-3.89488905],[4.00103782]
[-3.89388812],[4.00105777]
[-3.8928872],[4.00107792]
[-3.89188629],[4.00109826]
[-3.89088538],[4.00111879]
[-3.88988447],[4.0011395]
[-3.88888357],[4.00116041]
[-3.88788267],[4.00118151]
[-3.88688177],[4.0012028]
[-3.88588088],[4.00122428]
[-3.88487999],[4.00124594]
[-3.88387911],[4.0012678]
[-3.88287823],[4.00128985]
[-3.88187735],[4.00131209]
[-3.88087648],[4.00133451]
[-3.87987562],[4.00135713]
[-3.87887476],[4.00137994]
[-3.8778739],[4.00140294]
[-3.87687304],[4.00142613]
[-3.8758722],[4.0014495]
[-3.87487135],[4.00147307]
[-3.87387051],[4.00149683]
[-3.87286968],[4.00152078]
[-3.87186885],[4.00154492]
[-3.87086802],[4.00156924]
[-3.8698672],[4.00159376]
[-3.86886638],[4.00161847]
[-3.86786557],[4.00164337]
[-3.86686476],[4.00166846]
[-3.86586396],[4.00169374]
[-3.86486316],[4.0017192]
[-3.86386237],[4.00174486]
[-3.86286158],[4.00177071]
[-3.8618608],[4.00179675]
[-3.86086002],[4.00182298]
[-3.85985925],[4.0018494]
[-3.85885848],[4.001876]
[-3.85785771],[4.0019028]
[-3.85685696],[4.00192979]
[-3.8558562],[4.00195697]
[-3.85485546],[4.00198434]
[-3.85385471],[4.0020119]
[-3.85285398],[4.00203965]
[-3.85185325],[4.00206758]
[-3.85085252],[4.00209571]
[-3.8498518],[4.00212403]
[-3.84885108],[4.00215254]
[-3.84785037],[4.00218124]
[-3.84684967],[4.00221013]
[-3.84584897],[4.00223921]
[-3.84484827],[4.00226847]
[-3.84384759],[4.00229793]
[-3.8428469],[4.00232758]
[-3.84184623],[4.00235742]
[-3.84084556],[4.00238745]
[-3.83984489],[4.00241767]
[-3.83884423],[4.00244808]
[-3.83784358],[4.00247867]
[-3.83684293],[4.00250946]
[-3.83584229],[4.00254044]
[-3.83484165],[4.00257161]
[-3.83384102],[4.00260297]
[-3.83284039],[4.00263452]
[-3.83183978],[4.00266626]
[-3.83083916],[4.00269818]
[-3.82983856],[4.0027303]
[-3.82883796],[4.00276261]
[-3.82783736],[4.00279511]
[-3.82683678],[4.0028278]
[-3.82583619],[4.00286068]
[-3.82483562],[4.00289374]
[-3.82383505],[4.002927]
[-3.82283449],[4.00296045]
[-3.82183393],[4.00299409]
[-3.82083338],[4.00302792]
[-3.81983284],[4.00306194]
[-3.8188323],[4.00309614]
[-3.81783177],[4.00313054]
[-3.81683125],[4.00316513]
[-3.81583073],[4.00319991]
[-3.81483022],[4.00323488]
[-3.81382971],[4.00327004]
[-3.81282922],[4.00330538]
[-3.81182873],[4.00334092]
[-3.81082824],[4.00337665]
[-3.80982777],[4.00341257]
[-3.8088273],[4.00344868]
[-3.80782683],[4.00348497]
[-3.80682638],[4.00352146]
[-3.80582593],[4.00355814]
[-3.80482548],[4.00359501]
[-3.80382505],[4.00363206]
[-3.80282462],[4.00366931]
[-3.8018242],[4.00370675]
[-3.80082378],[4.00374438]
[-3.79982338],[4.00378219]
[-3.79882298],[4.0038202]
[-3.79782259],[4.0038584]
[-3.7968222],[4.00389679]
[-3.79582182],[4.00393536]
[-3.79482145],[4.00397413]
[-3.79382109],[4.00401309]
[-3.79282073],[4.00405223]
[-3.79182038],[4.00409157]
[-3.79082004],[4.0041311]
[-3.78981971],[4.00417082]
[-3.78881938],[4.00421072]
[-3.78781907],[4.00425082]
[-3.78681876],[4.00429111]
[-3.78581845],[4.00433158]
[-3.78481816],[4.00437225]
[-3.78381787],[4.00441311]
[-3.78281759],[4.00445415]
[-3.78181732],[4.00449539]
[-3.78081706],[4.00453681]
[-3.7798168],[4.00457843]
[-3.77881655],[4.00462024]
[-3.77781631],[4.00466223]
[-3.77681608],[4.00470442]
[-3.77581586],[4.00474679]
[-3.77481564],[4.00478936]
[-3.77381543],[4.00483212]
[-3.77281523],[4.00487506]
[-3.77181504],[4.0049182]
[-3.77081486],[4.00496152]
[-3.76981468],[4.00500504]
[-3.76881451],[4.00504874]
[-3.76781436],[4.00509264]
[-3.76681421],[4.00513672]
[-3.76581406],[4.005181]
[-3.76481393],[4.00522546]
[-3.76381381],[4.00527012]
[-3.76281369],[4.00531496]
[-3.76181358],[4.00536]
[-3.76081348],[4.00540522]
[-3.75981339],[4.00545063]
[-3.75881331],[4.00549624]
[-3.75781324],[4.00554203]
[-3.75681317],[4.00558802]
[-3.75581312],[4.00563419]
[-3.75481307],[4.00568055]
[-3.75381303],[4.00572711]
[-3.752813],[4.00577385]
[-3.75181298],[4.00582078]
[-3.75081297],[4.00586791]
[-3.74981297],[4.00591522]
[-3.74881297],[4.00596272]
[-3.74781299],[4.00601042]
[-3.74681301],[4.0060583]
[-3.74581305],[4.00610637]
[-3.74481309],[4.00615463]
[-3.74381314],[4.00620309]
[-3.7428132],[4.00625173]
[-3.74181327],[4.00630056]
[-3.74081335],[4.00634958]
[-3.73981344],[4.00639879]
[-3.73881354],[4.00644819]
[-3.73781365],[4.00649779]
[-3.73681377],[4.00654757]
[-3.73581389],[4.00659754]
[-3.73481403],[4.0066477]
[-3.73381418],[4.00669805]
[-3.73281433],[4.00674859]
[-3.7318145],[4.00679932]
[-3.73081467],[4.00685024]
[-3.72981486],[4.00690135]
[-3.72881505],[4.00695265]
[-3.72781525],[4.00700414]
[-3.72681547],[4.00705582]
[-3.72581569],[4.00710769]
[-3.72481592],[4.00715975]
[-3.72381617],[4.007212]
[-3.72281642],[4.00726444]
[-3.72181668],[4.00731707]
[-3.72081696],[4.00736988]
[-3.71981724],[4.00742289]
[-3.71881753],[4.00747609]
[-3.71781784],[4.00752948]
[-3.71681815],[4.00758306]
[-3.71581848],[4.00763682]
[-3.71481881],[4.00769078]
[-3.71381915],[4.00774493]
[-3.71281951],[4.00779927]
[-3.71181987],[4.00785379]
[-3.71082025],[4.00790851]
[-3.70982064],[4.00796342]
[-3.70882103],[4.00801851]
[-3.70782144],[4.0080738]
[-3.70682186],[4.00812927]
[-3.70582228],[4.00818494]
[-3.70482272],[4.00824079]
[-3.70382317],[4.00829684]
[-3.70282363],[4.00835307]
[-3.7018241],[4.0084095]
[-3.70082458],[4.00846611]
[-3.69982508],[4.00852292]
[-3.69882558],[4.00857991]
[-3.69782609],[4.0086371]
[-3.69682662],[4.00869447]
[-3.69582715],[4.00875203]
[-3.6948277],[4.00880979]
[-3.69382826],[4.00886773]
[-3.69282882],[4.00892586]
[-3.6918294],[4.00898418]
[-3.69083],[4.0090427]
[-3.6898306],[4.0091014]
[-3.68883121],[4.00916029]
[-3.68783183],[4.00921937]
[-3.68683247],[4.00927864]
[-3.68583312],[4.0093381]
[-3.68483377],[4.00939775]
[-3.68383444],[4.00945759]
[-3.68283512],[4.00951762]
[-3.68183582],[4.00957784]
[-3.68083652],[4.00963825]
[-3.67983723],[4.00969885]
[-3.67883796],[4.00975964]
[-3.6778387],[4.00982062]
[-3.67683945],[4.00988179]
[-3.67584021],[4.00994315]
[-3.67484098],[4.0100047]
[-3.67384177],[4.01006643]
[-3.67284257],[4.01012836]
[-3.67184337],[4.01019048]
[-3.67084419],[4.01025279]
[-3.66984503],[4.01031528]
[-3.66884587],[4.01037797]
[-3.66784673],[4.01044085]
[-3.66684759],[4.01050391]
[-3.66584847],[4.01056717]
[-3.66484937],[4.01063061]
[-3.66385027],[4.01069425]
[-3.66285119],[4.01075807]
[-3.66185211],[4.01082209]
[-3.66085305],[4.01088629]
[-3.65985401],[4.01095068]
[-3.65885497],[4.01101527]
[-3.65785595],[4.01108004]
[-3.65685694],[4.011145]
[-3.65585794],[4.01121015]
[-3.65485895],[4.0112755]
[-3.65385998],[4.01134103]
[-3.65286102],[4.01140675]
[-3.65186207],[4.01147266]
[-3.65086314],[4.01153876]
[-3.64986421],[4.01160505]
[-3.6488653],[4.01167153]
[-3.6478664],[4.0117382]
[-3.64686752],[4.01180506]
[-3.64586865],[4.01187211]
[-3.64486979],[4.01193935]
[-3.64387094],[4.01200678]
[-3.64287211],[4.0120744]
[-3.64187328],[4.0121422]
[-3.64087448],[4.0122102]
[-3.63987568],[4.01227839]
[-3.6388769],[4.01234676]
[-3.63787813],[4.01241533]
[-3.63687937],[4.01248409]
[-3.63588063],[4.01255303]
[-3.6348819],[4.01262217]
[-3.63388318],[4.01269149]
[-3.63288448],[4.01276101]
[-3.63188579],[4.01283071]
[-3.63088711],[4.0129006]
[-3.62988844],[4.01297069]
[-3.62888979],[4.01304096]
[-3.62789116],[4.01311142]
[-3.62689253],[4.01318208]
[-3.62589392],[4.01325292]
[-3.62489532],[4.01332395]
[-3.62389674],[4.01339517]
[-3.62289817],[4.01346658]
[-3.62189961],[4.01353818]
[-3.62090107],[4.01360997]
[-3.61990254],[4.01368195]
[-3.61890403],[4.01375412]
[-3.61790553],[4.01382648]
[-3.61690704],[4.01389902]
[-3.61590856],[4.01397176]
[-3.6149101],[4.01404469]
[-3.61391166],[4.01411781]
[-3.61291322],[4.01419111]
[-3.61191481],[4.01426461]
[-3.6109164],[4.01433829]
[-3.60991801],[4.01441217]
[-3.60891963],[4.01448623]
[-3.60792127],[4.01456049]
[-3.60692292],[4.01463493]
[-3.60592459],[4.01470957]
[-3.60492627],[4.01478439]
[-3.60392796],[4.0148594]
[-3.60292967],[4.0149346]
[-3.60193139],[4.01500999]
[-3.60093313],[4.01508558]
[-3.59993488],[4.01516135]
[-3.59893665],[4.01523731]
[-3.59793843],[4.01531346]
[-3.59694023],[4.0153898]
[-3.59594203],[4.01546632]
[-3.59494386],[4.01554304]
[-3.5939457],[4.01561995]
[-3.59294755],[4.01569705]
[-3.59194942],[4.01577433]
[-3.5909513],[4.01585181]
[-3.5899532],[4.01592948]
[-3.58895511],[4.01600733]
[-3.58795704],[4.01608538]
[-3.58695898],[4.01616361]
[-3.58596094],[4.01624204]
[-3.58496291],[4.01632065]
[-3.58396489],[4.01639945]
[-3.5829669],[4.01647844]
[-3.58196891],[4.01655763]
[-3.58097094],[4.016637]
[-3.57997299],[4.01671656]
[-3.57897505],[4.01679631]
[-3.57797713],[4.01687625]
[-3.57697922],[4.01695638]
[-3.57598133],[4.0170367]
[-3.57498345],[4.01711721]
[-3.57398559],[4.0171979]
[-3.57298774],[4.01727879]
[-3.57198991],[4.01735987]
[-3.5709921],[4.01744113]
[-3.5699943],[4.01752259]
[-3.56899651],[4.01760423]
[-3.56799874],[4.01768607]
[-3.56700099],[4.01776809]
[-3.56600325],[4.01785031]
[-3.56500553],[4.01793271]
[-3.56400782],[4.0180153]
[-3.56301013],[4.01809808]
[-3.56201246],[4.01818105]
[-3.5610148],[4.01826421]
[-3.56001715],[4.01834756]
[-3.55901952],[4.0184311]
[-3.55802191],[4.01851483]
[-3.55702432],[4.01859875]
[-3.55602674],[4.01868286]
[-3.55502917],[4.01876715]
[-3.55403162],[4.01885164]
[-3.55303409],[4.01893632]
[-3.55203658],[4.01902118]
[-3.55103908],[4.01910624]
[-3.55004159],[4.01919148]
[-3.54904413],[4.01927691]
[-3.54804668],[4.01936254]
[-3.54704924],[4.01944835]
[-3.54605182],[4.01953435]
[-3.54505442],[4.01962054]
[-3.54405703],[4.01970692]
[-3.54305967],[4.01979349]
[-3.54206231],[4.01988025]
[-3.54106498],[4.0199672]
[-3.54006766],[4.02005434]
[-3.53907035],[4.02014166]
[-3.53807307],[4.02022918]
[-3.5370758],[4.02031689]
[-3.53607854],[4.02040478]
[-3.53508131],[4.02049287]
[-3.53408409],[4.02058114]
[-3.53308688],[4.0206696]
[-3.5320897],[4.02075826]
[-3.53109253],[4.0208471]
[-3.53009538],[4.02093613]
[-3.52909824],[4.02102535]
[-3.52810112],[4.02111476]
[-3.52710402],[4.02120436]
[-3.52610694],[4.02129415]
[-3.52510987],[4.02138413]
[-3.52411282],[4.02147429]
[-3.52311579],[4.02156465]
[-3.52211877],[4.0216552]
[-3.52112177],[4.02174593]
[-3.52012479],[4.02183686]
[-3.51912783],[4.02192797]
[-3.51813088],[4.02201927]
[-3.51713395],[4.02211076]
[-3.51613704],[4.02220245]
[-3.51514014],[4.02229432]
[-3.51414327],[4.02238638]
[-3.51314641],[4.02247863]
[-3.51214957],[4.02257107]
[-3.51115274],[4.02266369]
[-3.51015594],[4.02275651]
[-3.50915915],[4.02284952]
[-3.50816237],[4.02294271]
[-3.50716562],[4.0230361]
[-3.50616889],[4.02312967]
[-3.50517217],[4.02322344]
[-3.50417547],[4.02331739]
[-3.50317878],[4.02341153]
[-3.50218212],[4.02350586]
[-3.50118547],[4.02360038]
[-3.50018884],[4.02369509]
[-3.49919223],[4.02378999]
[-3.49819564],[4.02388508]
[-3.49719907],[4.02398036]
[-3.49620251],[4.02407582]
[-3.49520597],[4.02417148]
[-3.49420945],[4.02426732]
[-3.49321295],[4.02436336]
[-3.49221647],[4.02445958]
[-3.49122],[4.02455599]
[-3.49022356],[4.0246526]
[-3.48922713],[4.02474939]
[-3.48823072],[4.02484637]
[-3.48723433],[4.02494354]
[-3.48623795],[4.0250409]
[-3.4852416],[4.02513844]
[-3.48424526],[4.02523618]
[-3.48324895],[4.02533411]
[-3.48225265],[4.02543222]
[-3.48125637],[4.02553053]
[-3.4802601],[4.02562902]
[-3.47926386],[4.0257277]
[-3.47826764],[4.02582658]
[-3.47727143],[4.02592564]
[-3.47627525],[4.02602489]
[-3.47527908],[4.02612433]
[-3.47428293],[4.02622396]
[-3.4732868],[4.02632377]
[-3.47229069],[4.02642378]
[-3.4712946],[4.02652398]
[-3.47029853],[4.02662436]
[-3.46930247],[4.02672494]
[-3.46830644],[4.0268257]
[-3.46731042],[4.02692665]
[-3.46631443],[4.02702779]
[-3.46531845],[4.02712912]
[-3.4643225],[4.02723064]
[-3.46332656],[4.02733235]
[-3.46233064],[4.02743425]
[-3.46133474],[4.02753634]
[-3.46033886],[4.02763861]
[-3.459343],[4.02774108]
[-3.45834716],[4.02784373]
[-3.45735134],[4.02794658]
[-3.45635553],[4.02804961]
[-3.45535975],[4.02815283]
[-3.45436399],[4.02825624]
[-3.45336825],[4.02835984]
[-3.45237252],[4.02846363]
[-3.45137682],[4.02856761]
[-3.45038114],[4.02867178]
[-3.44938547],[4.02877613]
[-3.44838983],[4.02888068]
[-3.4473942],[4.02898541]
[-3.4463986],[4.02909033]
[-3.44540302],[4.02919545]
[-3.44440745],[4.02930075]
[-3.44341191],[4.02940624]
[-3.44241638],[4.02951192]
[-3.44142088],[4.02961779]
[-3.4404254],[4.02972384]
[-3.43942993],[4.02983009]
[-3.43843449],[4.02993652]
[-3.43743907],[4.03004315]
[-3.43644366],[4.03014996]
[-3.43544828],[4.03025696]
[-3.43445292],[4.03036416]
[-3.43345758],[4.03047154]
[-3.43246225],[4.03057911]
[-3.43146695],[4.03068686]
[-3.43047167],[4.03079481]
[-3.42947641],[4.03090295]
[-3.42848117],[4.03101127]
[-3.42748595],[4.03111979]
[-3.42649076],[4.03122849]
[-3.42549558],[4.03133738]
[-3.42450042],[4.03144646]
[-3.42350529],[4.03155573]
[-3.42251017],[4.03166519]
[-3.42151508],[4.03177484]
[-3.42052],[4.03188468]
[-3.41952495],[4.0319947]
[-3.41852992],[4.03210492]
[-3.41753491],[4.03221532]
[-3.41653992],[4.03232591]
[-3.41554495],[4.03243669]
[-3.41455],[4.03254766]
[-3.41355507],[4.03265882]
[-3.41256017],[4.03277017]
[-3.41156528],[4.03288171]
[-3.41057042],[4.03299344]
[-3.40957558],[4.03310535]
[-3.40858076],[4.03321745]
[-3.40758596],[4.03332975]
[-3.40659118],[4.03344223]
[-3.40559643],[4.0335549]
[-3.40460169],[4.03366776]
[-3.40360698],[4.03378081]
[-3.40261229],[4.03389404]
[-3.40161761],[4.03400747]
[-3.40062297],[4.03412108]
[-3.39962834],[4.03423489]
[-3.39863373],[4.03434888]
[-3.39763915],[4.03446306]
[-3.39664459],[4.03457743]
[-3.39565005],[4.03469199]
[-3.39465553],[4.03480674]
[-3.39366103],[4.03492168]
[-3.39266656],[4.0350368]
[-3.3916721],[4.03515212]
[-3.39067767],[4.03526762]
[-3.38968326],[4.03538331]
[-3.38868888],[4.03549919]
[-3.38769451],[4.03561526]
[-3.38670017],[4.03573152]
[-3.38570585],[4.03584797]
[-3.38471155],[4.0359646]
[-3.38371727],[4.03608143]
[-3.38272302],[4.03619844]
[-3.38172878],[4.03631564]
[-3.38073457],[4.03643303]
[-3.37974039],[4.03655061]
[-3.37874622],[4.03666838]
[-3.37775208],[4.03678634]
[-3.37675796],[4.03690449]
[-3.37576386],[4.03702282]
[-3.37476979],[4.03714134]
[-3.37377573],[4.03726006]
[-3.3727817],[4.03737896]
[-3.3717877],[4.03749805]
[-3.37079371],[4.03761733]
[-3.36979975],[4.03773679]
[-3.36880581],[4.03785645]
[-3.36781189],[4.03797629]
[-3.366818],[4.03809633]
[-3.36582413],[4.03821655]
[-3.36483028],[4.03833696]
[-3.36383645],[4.03845756]
[-3.36284265],[4.03857835]
[-3.36184887],[4.03869933]
[-3.36085512],[4.03882049]
[-3.35986138],[4.03894185]
[-3.35886767],[4.03906339]
[-3.35787399],[4.03918512]
[-3.35688032],[4.03930704]
[-3.35588668],[4.03942915]
[-3.35489306],[4.03955145]
[-3.35389947],[4.03967394]
[-3.3529059],[4.03979661]
[-3.35191235],[4.03991947]
[-3.35091883],[4.04004253]
[-3.34992533],[4.04016577]
[-3.34893185],[4.0402892]
[-3.34793839],[4.04041282]
[-3.34694496],[4.04053662]
[-3.34595156],[4.04066062]
[-3.34495817],[4.0407848]
[-3.34396481],[4.04090918]
[-3.34297148],[4.04103374]
[-3.34197817],[4.04115849]
[-3.34098488],[4.04128343]
[-3.33999161],[4.04140855]
[-3.33899837],[4.04153387]
[-3.33800515],[4.04165937]
[-3.33701196],[4.04178507]
[-3.33601879],[4.04191095]
[-3.33502565],[4.04203702]
[-3.33403253],[4.04216328]
[-3.33303943],[4.04228972]
[-3.33204635],[4.04241636]
[-3.33105331],[4.04254318]
[-3.33006028],[4.0426702]
[-3.32906728],[4.0427974]
[-3.3280743],[4.04292479]
[-3.32708135],[4.04305237]
[-3.32608842],[4.04318013]
[-3.32509552],[4.04330809]
[-3.32410264],[4.04343623]
[-3.32310978],[4.04356457]
[-3.32211695],[4.04369309]
[-3.32112415],[4.0438218]
[-3.32013136],[4.0439507]
[-3.31913861],[4.04407978]
[-3.31814587],[4.04420906]
[-3.31715317],[4.04433852]
[-3.31616048],[4.04446817]
[-3.31516782],[4.04459801]
[-3.31417519],[4.04472804]
[-3.31318258],[4.04485826]
[-3.31218999],[4.04498867]
[-3.31119744],[4.04511926]
[-3.3102049],[4.04525004]
[-3.30921239],[4.04538102]
[-3.3082199],[4.04551218]
[-3.30722744],[4.04564352]
[-3.30623501],[4.04577506]
[-3.3052426],[4.04590679]
[-3.30425021],[4.0460387]
[-3.30325785],[4.0461708]
[-3.30226552],[4.04630309]
[-3.30127321],[4.04643557]
[-3.30028092],[4.04656824]
[-3.29928866],[4.04670109]
[-3.29829643],[4.04683414]
[-3.29730422],[4.04696737]
[-3.29631204],[4.04710079]
[-3.29531988],[4.0472344]
[-3.29432775],[4.0473682]
[-3.29333564],[4.04750218]
[-3.29234356],[4.04763636]
[-3.2913515],[4.04777072]
[-3.29035947],[4.04790527]
[-3.28936747],[4.04804001]
[-3.28837549],[4.04817494]
[-3.28738353],[4.04831006]
[-3.28639161],[4.04844536]
[-3.2853997],[4.04858085]
[-3.28440783],[4.04871654]
[-3.28341598],[4.04885241]
[-3.28242415],[4.04898846]
[-3.28143235],[4.04912471]
[-3.28044058],[4.04926114]
[-3.27944883],[4.04939777]
[-3.27845711],[4.04953458]
[-3.27746542],[4.04967158]
[-3.27647375],[4.04980877]
[-3.27548211],[4.04994614]
[-3.27449049],[4.05008371]
[-3.2734989],[4.05022146]
[-3.27250733],[4.0503594]
[-3.2715158],[4.05049753]
[-3.27052428],[4.05063585]
[-3.2695328],[4.05077435]
[-3.26854134],[4.05091305]
[-3.26754991],[4.05105193]
[-3.2665585],[4.051191]
[-3.26556712],[4.05133026]
[-3.26457577],[4.0514697]
[-3.26358444],[4.05160934]
[-3.26259314],[4.05174916]
[-3.26160187],[4.05188917]
[-3.26061062],[4.05202937]
[-3.2596194],[4.05216976]
[-3.2586282],[4.05231034]
[-3.25763704],[4.0524511]
